# Canonical LC-to-template routing table.  One non-comment row per non-gap official problem.
# Columns: chapter<TAB>template_item<TAB>lc_problem<TAB>mapping_confidence
01	1.1.002	sample/aplusb	audited
01	1.2.001	sample/many_aplusb	audited
01	1.2.002	sample/many_aplusb_128bit	audited
02	2.2.010	other/longest_increasing_subsequence	audited
03	1.4.002	data_structure/deque	audited
03	3.1.001	data_structure/unionfind	audited
03	3.1.003	data_structure/unionfind_with_potential	audited
03	3.1.005	data_structure/persistent_unionfind	audited
03	3.1.006	data_structure/range_parallel_unionfind	audited
03	3.1.008	data_structure/unionfind_with_potential_non_commutative_group	audited
03	3.2.001	data_structure/point_add_range_sum	audited
03	3.2.008	data_structure/point_add_rectangle_sum	audited
03	3.2.009	data_structure/static_rectangle_add_rectangle_sum	audited
03	3.2.010	data_structure/rectangle_sum	audited
03	3.2.011	data_structure/rectangle_add_point_get	audited
03	3.3.001	data_structure/point_set_range_composite	audited
03	3.3.003	data_structure/range_affine_point_get	audited
03	3.3.003	data_structure/range_affine_range_sum	audited
03	3.3.004	data_structure/range_add_range_min	audited
03	3.3.007	data_structure/point_set_range_composite_large_array	audited
03	3.3.011	data_structure/range_chmin_chmax_add_range_sum	audited
03	3.3.012	data_structure/area_of_union_of_rectangles	audited
03	3.3.017	data_structure/majority_voting	audited
03	3.3.018	data_structure/point_set_range_sort_range_composite	audited
03	3.3.019	data_structure/range_linear_add_range_min	audited
03	3.3.020	data_structure/persistent_range_affine_range_sum	audited
03	3.3.021	data_structure/range_affine_range_sum_large_array	audited
03	3.3.022	data_structure/range_set_range_composite	audited
03	3.4.001	data_structure/staticrmq	audited
03	3.4.005	data_structure/range_kth_smallest	audited
03	3.4.005	data_structure/static_range_frequency	audited
03	3.4.005	data_structure/static_range_sum_with_upper_bound	audited
03	3.4.008	data_structure/static_range_mode_query	audited
03	3.4.009	data_structure/static_range_lis_query	audited
03	3.4.010	data_structure/static_range_count_distinct	audited
03	3.4.011	data_structure/static_range_inversions_query	audited
03	3.4.012	data_structure/static_range_sum	audited
03	3.5.007	data_structure/double_ended_priority_queue	audited
03	3.5.011	data_structure/dynamic_sequence_range_affine_range_sum	audited
03	3.5.011	data_structure/range_reverse_range_sum	audited
03	3.5.012	data_structure/persistent_queue	audited
03	3.6.003	data_structure/set_xor_min	audited
03	3.6.006	data_structure/associative_array	audited
